timestamp,order_events,units_ordered,units_delivered,units_cancelled,fulfillment_rate,top_warehouse,top_product,top_category,orders_placed,orders_delivered,orders_cancelled
2026-03-13T14:05:28.768022,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T14:05:39.109829,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:11:11.924190,684,653,91,42,13.9,wh-chennai,book-005,books,348,48,17
2026-03-13T15:11:21.933064,114,122,8,7,6.6,wh-chennai,clth-005,clothing,74,5,3
2026-03-13T15:11:31.985310,131,132,18,0,13.6,wh-bangalore,elec-003,electronics,73,9,0
2026-03-13T15:11:42.907696,122,129,28,2,21.7,wh-bangalore,sprt-001,sports,75,13,1
2026-03-13T15:11:52.923808,130,120,32,4,26.7,wh-bangalore,sprt-004,sports,67,13,2
2026-03-13T15:12:03.133081,127,163,13,3,8.0,wh-bangalore,sprt-004,sports,78,8,2
2026-03-13T15:12:13.842903,116,97,16,5,16.5,wh-hyderabad,home-003,electronics,52,10,3
2026-03-13T15:12:24.230973,59,58,11,1,19.0,wh-delhi,sprt-004,sports,32,5,1
2026-03-13T15:12:34.483804,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:12:44.916938,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:12:55.126740,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:13:05.453800,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:13:16.133682,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:13:26.603484,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:13:37.039386,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:13:47.295352,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:13:57.563823,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:14:07.734906,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:16:09.935357,2157,2118,317,78,15.0,wh-hyderabad,book-005,sports,1163,164,38
2026-03-13T15:16:20.105231,117,105,16,14,15.2,wh-hyderabad,book-002,sports,67,8,7
2026-03-13T15:16:30.248574,153,146,19,12,13.0,wh-delhi,sprt-004,sports,80,11,7
2026-03-13T15:16:40.294221,142,121,20,8,16.5,wh-hyderabad,home-004,home,72,12,4
2026-03-13T15:16:51.140737,123,126,13,1,10.3,wh-mumbai,sprt-002,sports,69,8,1
2026-03-13T15:17:01.168714,128,123,6,2,4.9,wh-hyderabad,book-003,clothing,66,4,2
2026-03-13T15:17:11.181839,140,127,12,5,9.4,wh-bangalore,book-003,books,77,9,4
2026-03-13T15:17:21.358090,73,63,17,0,27.0,wh-bangalore,sprt-005,sports,36,8,0
2026-03-13T15:17:31.701551,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:17:42.085923,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:17:52.386977,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:18:02.665118,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:18:13.205047,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:18:23.993902,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:18:34.219499,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:18:44.540448,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:18:54.896009,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:19:05.208200,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:19:15.519420,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:19:25.934103,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:19:36.286285,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:19:46.674692,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:19:57.157460,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:28:37.748891,5258,4966,738,178,14.9,wh-hyderabad,sprt-004,sports,2766,410,97
2026-03-13T15:28:48.672717,153,143,15,6,10.5,wh-bangalore,clth-001,home,77,7,4
2026-03-13T15:28:58.880612,136,136,30,6,22.1,wh-bangalore,sprt-002,sports,71,13,2
2026-03-13T15:29:09.747769,125,113,7,1,6.2,wh-delhi,elec-005,sports,64,6,1
2026-03-13T15:29:19.755282,102,111,13,0,11.7,wh-bangalore,elec-002,electronics,61,8,0
2026-03-13T15:29:30.335043,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:29:40.872074,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:29:51.766522,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:30:01.993030,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:30:12.205574,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:30:22.560156,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:30:32.967091,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:30:43.271197,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:30:53.579932,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:31:03.791524,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:31:14.006706,0,0,0,0,0,none,none,none,0,0,0
2026-03-13T15:31:24.195538,0,0,0,0,0,none,none,none,0,0,0
