timestamp,alert_id,rule,severity,user_id,payment_id,order_id,amount,detail
2026-03-13T15:11:45.861973,alert-pay-7600cbd2,new_account_large_payment,HIGH,user-0021,pay-7600cbd2,ord-6a685144,87092.2,"account age=1 days, amount=Rs.87,092"
2026-03-13T15:12:15.945974,alert-pay-0bac66ce,very_large_payment,MEDIUM,user-0026,pay-0bac66ce,ord-40e47df9,270194.1,"amount=Rs.270,194 exceeds threshold"
2026-03-13T15:16:00.065545,alert-pay-7600cbd2,new_account_large_payment,HIGH,user-0021,pay-7600cbd2,ord-6a685144,87092.2,"account age=1 days, amount=Rs.87,092"
2026-03-13T15:16:00.065650,alert-pay-0bac66ce,very_large_payment,MEDIUM,user-0026,pay-0bac66ce,ord-40e47df9,270194.1,"amount=Rs.270,194 exceeds threshold"
2026-03-13T15:16:00.065689,alert-pay-849897b1,very_large_payment,MEDIUM,user-0014,pay-849897b1,ord-28b65cd2,334089.49,"amount=Rs.334,089 exceeds threshold"
2026-03-13T15:16:00.065714,alert-pay-1c7a3c82,very_large_payment,MEDIUM,user-0027,pay-1c7a3c82,ord-0b56e779,302802.36,"amount=Rs.302,802 exceeds threshold"
2026-03-13T15:16:15.046552,alert-pay-06a2e49a,very_large_payment,MEDIUM,user-0050,pay-06a2e49a,ord-6d92bda2,368820.22,"amount=Rs.368,820 exceeds threshold"
2026-03-13T15:16:20.973563,alert-pay-e205a02b,very_large_payment,MEDIUM,user-0042,pay-e205a02b,ord-85534680,216034.81,"amount=Rs.216,035 exceeds threshold"
2026-03-13T15:16:47.111605,alert-pay-27395686,very_large_payment,MEDIUM,user-0006,pay-27395686,ord-7188fb3f,333553.42,"amount=Rs.333,553 exceeds threshold"
2026-03-13T15:28:28.494274,alert-pay-7600cbd2,new_account_large_payment,HIGH,user-0021,pay-7600cbd2,ord-6a685144,87092.2,"account age=1 days, amount=Rs.87,092"
2026-03-13T15:28:28.494389,alert-pay-0bac66ce,very_large_payment,MEDIUM,user-0026,pay-0bac66ce,ord-40e47df9,270194.1,"amount=Rs.270,194 exceeds threshold"
2026-03-13T15:28:28.494426,alert-pay-849897b1,very_large_payment,MEDIUM,user-0014,pay-849897b1,ord-28b65cd2,334089.49,"amount=Rs.334,089 exceeds threshold"
2026-03-13T15:28:28.494448,alert-pay-1c7a3c82,very_large_payment,MEDIUM,user-0027,pay-1c7a3c82,ord-0b56e779,302802.36,"amount=Rs.302,802 exceeds threshold"
2026-03-13T15:28:28.494468,alert-pay-06a2e49a,very_large_payment,MEDIUM,user-0050,pay-06a2e49a,ord-6d92bda2,368820.22,"amount=Rs.368,820 exceeds threshold"
2026-03-13T15:28:28.494486,alert-pay-e205a02b,very_large_payment,MEDIUM,user-0042,pay-e205a02b,ord-85534680,216034.81,"amount=Rs.216,035 exceeds threshold"
2026-03-13T15:28:28.494505,alert-pay-27395686,very_large_payment,MEDIUM,user-0006,pay-27395686,ord-7188fb3f,333553.42,"amount=Rs.333,553 exceeds threshold"
2026-03-13T15:28:28.494522,alert-pay-547e91fe,very_large_payment,MEDIUM,user-0049,pay-547e91fe,ord-3bea1976,318977.57,"amount=Rs.318,978 exceeds threshold"
2026-03-13T15:28:28.494541,alert-pay-dabb7f4b,very_large_payment,MEDIUM,user-0047,pay-dabb7f4b,ord-e23e55be,480449.96,"amount=Rs.480,450 exceeds threshold"
2026-03-13T15:28:28.494559,alert-pay-6b7dc07c,very_large_payment,MEDIUM,user-0006,pay-6b7dc07c,ord-b423d36a,229218.33,"amount=Rs.229,218 exceeds threshold"
2026-03-13T15:28:28.494577,alert-pay-08e3cd63,very_large_payment,MEDIUM,user-0035,pay-08e3cd63,ord-87261f49,433786.05,"amount=Rs.433,786 exceeds threshold"
2026-03-13T15:28:28.494596,alert-pay-1abf6f70,new_account_large_payment,HIGH,user-0005,pay-1abf6f70,ord-0793b403,207870.13,"account age=4 days, amount=Rs.207,870"
2026-03-13T15:28:28.494612,alert-pay-549439c3,very_large_payment,MEDIUM,user-0030,pay-549439c3,ord-f7df16ab,390325.19,"amount=Rs.390,325 exceeds threshold"
2026-03-13T15:28:28.494628,alert-pay-28deafc4,very_large_payment,MEDIUM,user-0022,pay-28deafc4,ord-4242bf44,237990.05,"amount=Rs.237,990 exceeds threshold"
2026-03-13T15:28:28.494644,alert-pay-940faea9,very_large_payment,MEDIUM,user-0007,pay-940faea9,ord-90188132,428780.97,"amount=Rs.428,781 exceeds threshold"
2026-03-13T15:28:28.494660,alert-pay-fda5f2be,new_account_large_payment,HIGH,user-0043,pay-fda5f2be,ord-5539b5b7,239370.03,"account age=6 days, amount=Rs.239,370"
2026-03-13T15:28:28.494679,alert-pay-ef2a8989,very_large_payment,MEDIUM,user-0011,pay-ef2a8989,ord-44c41943,416502.63,"amount=Rs.416,503 exceeds threshold"
2026-03-13T15:28:28.494697,alert-pay-a38f1919,very_large_payment,MEDIUM,user-0026,pay-a38f1919,ord-5bcf826b,258505.5,"amount=Rs.258,506 exceeds threshold"
2026-03-13T15:28:28.494727,alert-pay-8893ed2e,very_large_payment,MEDIUM,user-0008,pay-8893ed2e,ord-face3235,452124.99,"amount=Rs.452,125 exceeds threshold"
2026-03-13T15:28:38.085826,alert-pay-631f01fc,very_large_payment,MEDIUM,user-0017,pay-631f01fc,ord-e055b169,272771.21,"amount=Rs.272,771 exceeds threshold"
2026-03-13T15:28:44.014781,alert-pay-4b112558,very_large_payment,MEDIUM,user-0050,pay-4b112558,ord-c7affe08,479393.16,"amount=Rs.479,393 exceeds threshold"
2026-03-13T15:28:51.745527,alert-pay-3e637093,very_large_payment,MEDIUM,user-0001,pay-3e637093,ord-838e78a9,228977.26,"amount=Rs.228,977 exceeds threshold"
2026-03-13T15:29:05.739359,alert-pay-4f3ddda9,very_large_payment,MEDIUM,user-0013,pay-4f3ddda9,ord-5d739176,244407.71,"amount=Rs.244,408 exceeds threshold"
